vehicle_id,timestamp,temperature,vibration,fuel_consumption,mileage,engine_hours,battery_health,fuel_type
vehicle_1,2025-07-07T13:39:41.684798,84.59,1.41,7.35,98148,6.8,83.3,essence
vehicle_1,2025-07-07T11:15:41.684798,85.77,1.57,6.84,98153,7.0,83.25,essence
vehicle_1,2025-07-07T08:51:41.684798,92.06,1.54,7.65,98158,7.2,83.2,essence
vehicle_1,2025-07-07T06:27:41.684798,90.2,1.47,7.04,98163,7.4,83.15,essence
vehicle_1,2025-07-07T04:03:41.684798,91.38,1.46,7.18,98168,7.6,83.1,essence
vehicle_1,2025-07-07T01:39:41.684798,84.37,1.43,6.94,98173,7.8,83.05,essence
vehicle_1,2025-07-08T23:15:41.684798,86.48,1.41,7.19,98178,8.0,83.0,essence
vehicle_1,2025-07-08T20:51:41.684798,90.08,1.71,7.21,98183,8.2,82.95,essence
vehicle_1,2025-07-08T18:27:41.684798,93.04,1.62,7.18,98188,8.4,82.9,essence
vehicle_1,2025-07-08T16:03:41.684798,92.01,1.4,7.38,98193,8.6,82.85,essence
vehicle_1,2025-07-08T13:39:41.684798,87.15,1.54,6.79,98198,8.8,82.8,essence
vehicle_1,2025-07-08T11:15:41.684798,90.96,1.52,6.79,98203,9.0,82.75,essence
vehicle_1,2025-07-08T08:51:41.684798,90.89,1.58,7.27,98208,9.2,82.7,essence
vehicle_1,2025-07-08T06:27:41.684798,87.85,1.58,7.68,98213,9.4,82.65,essence
vehicle_1,2025-07-08T04:03:41.684798,89.87,1.74,7.47,98218,9.6,82.6,essence
vehicle_1,2025-07-08T01:39:41.684798,91.86,1.38,6.81,98223,9.8,82.55,essence
vehicle_1,2025-07-09T23:15:41.684798,84.29,1.47,7.84,98228,10.0,82.5,essence
vehicle_1,2025-07-09T20:51:41.684798,91.72,1.45,6.94,98233,10.2,82.45,essence
vehicle_1,2025-07-09T18:27:41.684798,88.89,1.46,7.45,98238,10.4,82.4,essence
vehicle_1,2025-07-09T16:03:41.684798,91.09,1.7,7.39,98243,10.6,82.35,essence
vehicle_1,2025-07-09T13:39:41.684798,84.57,1.54,7.19,98248,10.8,82.3,essence
vehicle_1,2025-07-09T11:15:41.684798,89.15,1.49,7.32,98253,11.0,82.25,essence
vehicle_1,2025-07-09T08:51:41.684798,93.75,1.48,7.12,98258,11.2,82.2,essence
vehicle_1,2025-07-09T06:27:41.684798,85.77,1.72,7.02,98263,11.4,82.15,essence
vehicle_1,2025-07-09T04:03:41.684798,84.44,1.39,7.74,98268,11.6,82.1,essence
vehicle_1,2025-07-09T01:39:41.684798,87.02,1.54,6.99,98273,11.8,82.05,essence
vehicle_1,2025-07-10T23:15:41.684798,88.51,1.46,7.01,98278,12.0,82.0,essence
vehicle_1,2025-07-10T20:51:41.684798,85.81,1.73,7.01,98283,12.2,81.95,essence
vehicle_1,2025-07-10T18:27:41.684798,86.11,1.77,7.03,98288,12.4,81.9,essence
vehicle_1,2025-07-10T16:03:41.684798,90.03,1.77,7.12,98293,12.6,81.85,essence
vehicle_1,2025-07-10T13:39:41.684798,94.2,1.53,7.2,98298,12.8,81.8,essence
vehicle_1,2025-07-10T11:15:41.684798,94.16,1.59,7.11,98303,13.0,81.75,essence
vehicle_1,2025-07-10T08:51:41.684798,87.3,1.59,7.41,98308,13.2,81.7,essence
vehicle_1,2025-07-10T06:27:41.684798,89.3,1.77,7.15,98313,13.4,81.65,essence
vehicle_1,2025-07-10T04:03:41.684798,89.74,1.65,6.96,98318,13.6,81.6,essence
vehicle_1,2025-07-10T01:39:41.684798,89.04,1.7,7.41,98323,13.8,81.55,essence
vehicle_1,2025-07-11T23:15:41.684798,95.53,1.66,7.91,98328,14.0,81.5,essence
vehicle_1,2025-07-11T20:51:41.684798,86.37,1.72,7.95,98333,14.2,81.45,essence
vehicle_1,2025-07-11T18:27:41.684798,93.81,1.49,7.95,98338,14.4,81.4,essence
vehicle_1,2025-07-11T16:03:41.684798,94.08,1.72,7.02,98343,14.6,81.35,essence
vehicle_1,2025-07-11T13:39:41.684798,89.05,1.76,7.03,98348,14.8,81.3,essence
vehicle_1,2025-07-11T11:15:41.684798,87.97,1.61,7.59,98353,15.0,81.25,essence
vehicle_1,2025-07-11T08:51:41.684798,91.17,1.79,7.62,98358,15.2,81.2,essence
vehicle_1,2025-07-11T06:27:41.685796,91.65,1.75,7.74,98363,15.4,81.15,essence
vehicle_1,2025-07-11T04:03:41.685796,89.63,1.78,7.9,98368,15.6,81.1,essence
vehicle_1,2025-07-11T01:39:41.685796,90.86,1.55,7.04,98373,15.8,81.05,essence
vehicle_1,2025-07-12T23:15:41.685796,92.48,1.67,7.65,98378,16.0,81.0,essence
vehicle_1,2025-07-12T20:51:41.685796,95.44,1.53,7.98,98383,16.2,80.95,essence
vehicle_1,2025-07-12T18:27:41.685796,96.7,1.71,7.42,98388,16.4,80.9,essence
vehicle_1,2025-07-12T16:03:41.685796,92.67,1.71,7.58,98393,16.6,80.85,essence
vehicle_1,2025-07-12T13:39:41.685796,89.47,1.65,7.41,98398,16.8,80.8,essence
vehicle_1,2025-07-12T11:15:41.685796,90.17,1.44,7.7,98403,17.0,80.75,essence
vehicle_1,2025-07-12T08:51:41.685796,91.62,1.53,7.23,98408,17.2,80.7,essence
vehicle_1,2025-07-12T06:27:41.685796,90.98,1.48,7.64,98413,17.4,80.65,essence
vehicle_1,2025-07-12T04:03:41.685796,94.86,1.58,7.89,98418,17.6,80.6,essence
vehicle_1,2025-07-12T01:39:41.685796,89.77,1.62,7.82,98423,17.8,80.55,essence
vehicle_1,2025-07-13T23:15:41.685796,93.73,1.45,7.62,98428,18.0,80.5,essence
vehicle_1,2025-07-13T20:51:41.685796,88.72,1.46,7.94,98433,18.2,80.45,essence
vehicle_1,2025-07-13T18:27:41.685796,92.71,1.45,8.12,98438,18.4,80.4,essence
vehicle_1,2025-07-13T16:03:41.685796,88.99,1.7,8.08,98443,18.6,80.35,essence
vehicle_1,2025-07-13T13:39:41.685796,93.03,1.61,7.43,98448,18.8,80.3,essence
vehicle_1,2025-07-13T11:15:41.685796,92.77,1.46,8.02,98453,19.0,80.25,essence
vehicle_1,2025-07-13T08:51:41.685796,95.92,1.82,7.59,98458,19.2,80.2,essence
vehicle_1,2025-07-13T06:27:41.685796,88.97,1.59,7.56,98463,19.4,80.15,essence
vehicle_1,2025-07-13T04:03:41.685796,91.15,1.72,7.4,98468,19.6,80.1,essence
vehicle_1,2025-07-13T01:39:41.685796,88.13,1.8,7.48,98473,19.8,80.05,essence
vehicle_1,2025-07-14T23:15:41.685796,90.81,1.73,8.09,98478,20.0,80.0,essence
vehicle_1,2025-07-14T20:51:41.685796,94.81,1.82,7.41,98483,20.2,79.95,essence
vehicle_1,2025-07-14T18:27:41.685796,97.18,1.85,8.18,98488,20.4,79.9,essence
vehicle_1,2025-07-14T16:03:41.685796,93.34,1.55,7.99,98493,20.6,79.85,essence
vehicle_1,2025-07-14T13:39:41.685796,88.63,1.77,7.63,98498,20.8,79.8,essence
vehicle_1,2025-07-14T11:15:41.685796,95.33,1.68,7.37,98503,21.0,79.75,essence
vehicle_1,2025-07-14T08:51:41.685796,90.33,1.66,7.65,98508,21.2,79.7,essence
vehicle_1,2025-07-14T06:27:41.685796,90.19,1.68,8.0,98513,21.4,79.65,essence
vehicle_1,2025-07-14T04:03:41.685796,93.96,1.64,7.98,98518,21.6,79.6,essence
vehicle_1,2025-07-14T01:39:41.685796,88.75,1.7,7.82,98523,21.8,79.55,essence
vehicle_1,2025-07-15T23:15:41.685796,97.49,1.69,7.66,98528,22.0,79.5,essence
vehicle_1,2025-07-15T20:51:41.685796,96.89,1.73,7.44,98533,22.2,79.45,essence
vehicle_1,2025-07-15T18:27:41.685796,92.08,1.64,7.5,98538,22.4,79.4,essence
vehicle_1,2025-07-15T16:03:41.685796,97.62,1.79,7.33,98543,22.6,79.35,essence
vehicle_1,2025-07-15T13:39:41.685796,96.62,1.51,8.16,98548,22.8,79.3,essence
vehicle_1,2025-07-15T11:15:41.685796,97.36,1.75,7.71,98553,23.0,79.25,essence
vehicle_1,2025-07-15T08:51:41.685796,97.28,1.52,7.59,98558,23.2,79.2,essence
vehicle_1,2025-07-15T06:27:41.685796,94.9,1.49,7.99,98563,23.4,79.15,essence
vehicle_1,2025-07-15T04:03:41.685796,91.84,1.86,7.34,98568,23.6,79.1,essence
vehicle_1,2025-07-15T01:39:41.685796,89.92,1.81,7.66,98573,23.8,79.05,essence
vehicle_1,2025-07-16T23:15:41.685796,95.94,1.83,7.43,98578,24.0,79.0,essence
vehicle_1,2025-07-16T20:51:41.685796,96.18,1.72,8.25,98583,24.2,78.95,essence
vehicle_1,2025-07-16T18:27:41.685796,93.45,1.59,8.3,98588,24.4,78.9,essence
vehicle_1,2025-07-16T16:03:41.685796,97.29,1.76,8.2,98593,24.6,78.85,essence
vehicle_1,2025-07-16T13:39:41.685796,96.9,1.64,7.53,98598,24.8,78.8,essence
vehicle_1,2025-07-16T11:15:41.685796,92.81,1.74,8.12,98603,25.0,78.75,essence
vehicle_1,2025-07-16T08:51:41.685796,92.04,1.69,7.43,98608,25.2,78.7,essence
vehicle_1,2025-07-16T06:27:41.685796,95.85,1.86,8.09,98613,25.4,78.65,essence
vehicle_1,2025-07-16T04:03:41.685796,92.31,1.79,8.26,98618,25.6,78.6,essence
vehicle_1,2025-07-16T01:39:41.685796,90.5,1.73,7.66,98623,25.8,78.55,essence
vehicle_1,2025-07-17T23:15:41.685796,93.37,1.85,7.79,98628,26.0,78.5,essence
vehicle_1,2025-07-17T20:51:41.685796,99.12,1.84,8.27,98633,26.2,78.45,essence
vehicle_1,2025-07-17T18:27:41.685796,93.09,1.86,7.86,98638,26.4,78.4,essence
vehicle_1,2025-07-17T16:03:41.685796,101.03,1.56,8.33,98643,26.6,78.35,essence
vehicle_1,2025-07-17T13:39:41.685796,94.73,1.68,8.32,98648,26.8,78.3,essence
vehicle_1,2025-07-17T11:15:41.685796,92.13,1.5,8.16,98653,27.0,78.25,essence
vehicle_1,2025-07-17T08:51:41.685796,93.85,1.51,7.97,98658,27.2,78.2,essence
vehicle_1,2025-07-17T06:27:41.685796,97.52,1.81,8.24,98663,27.4,78.15,essence
vehicle_1,2025-07-17T04:03:41.685796,100.96,1.64,8.22,98668,27.6,78.1,essence
vehicle_1,2025-07-17T01:39:41.685796,92.46,1.78,8.37,98673,27.8,78.05,essence
vehicle_1,2025-07-18T23:15:41.685796,100.16,1.58,8.28,98678,28.0,78.0,essence
vehicle_1,2025-07-18T20:51:41.685796,96.53,1.84,7.98,98683,28.2,77.95,essence
vehicle_1,2025-07-18T18:27:41.685796,97.43,1.8,8.23,98688,28.4,77.9,essence
vehicle_1,2025-07-18T16:03:41.685796,96.39,1.83,7.53,98693,28.6,77.85,essence
vehicle_1,2025-07-18T13:39:41.685796,97.6,1.79,8.07,98698,28.8,77.8,essence
vehicle_1,2025-07-18T11:15:41.685796,93.8,1.8,8.25,98703,29.0,77.75,essence
vehicle_1,2025-07-18T08:51:41.685796,98.15,1.66,7.54,98708,29.2,77.7,essence
vehicle_1,2025-07-18T06:27:41.685796,95.86,1.69,7.84,98713,29.4,77.65,essence
vehicle_1,2025-07-18T04:03:41.685796,94.27,1.67,8.26,98718,29.6,77.6,essence
vehicle_1,2025-07-18T01:39:41.685796,100.55,1.84,8.22,98723,29.8,77.55,essence
vehicle_1,2025-07-19T23:15:41.685796,100.67,1.81,8.42,98728,30.0,77.5,essence
vehicle_1,2025-07-19T20:51:41.685796,102.05,1.77,8.12,98733,30.2,77.45,essence
vehicle_1,2025-07-19T18:27:41.685796,97.71,1.64,8.4,98738,30.4,77.4,essence
vehicle_1,2025-07-19T16:03:41.685796,100.77,1.62,8.48,98743,30.6,77.35,essence
vehicle_1,2025-07-19T13:39:41.685796,93.65,1.83,7.68,98748,30.8,77.3,essence
vehicle_1,2025-07-19T11:15:41.685796,98.14,1.59,7.57,98753,31.0,77.25,essence
vehicle_1,2025-07-19T08:51:41.685796,95.85,1.61,8.52,98758,31.2,77.2,essence
vehicle_1,2025-07-19T06:27:41.685796,99.2,1.7,7.67,98763,31.4,77.15,essence
vehicle_1,2025-07-19T04:03:41.685796,102.73,1.79,8.14,98768,31.6,77.1,essence
vehicle_1,2025-07-19T01:39:41.685796,94.76,1.7,8.22,98773,31.8,77.05,essence
vehicle_1,2025-07-20T23:15:41.685796,94.69,1.56,8.29,98778,32.0,77.0,essence
vehicle_1,2025-07-20T20:51:41.685796,93.95,1.72,8.17,98783,32.2,76.95,essence
vehicle_1,2025-07-20T18:27:41.685796,102.84,1.7,8.0,98788,32.4,76.9,essence
vehicle_1,2025-07-20T16:03:41.685796,95.41,1.66,8.38,98793,32.6,76.85,essence
vehicle_1,2025-07-20T13:39:41.685796,100.89,1.83,7.79,98798,32.8,76.8,essence
vehicle_1,2025-07-20T11:15:41.685796,94.93,1.56,7.88,98803,33.0,76.75,essence
vehicle_1,2025-07-20T08:51:41.685796,94.98,1.64,7.78,98808,33.2,76.7,essence
vehicle_1,2025-07-20T06:27:41.685796,100.55,1.92,7.94,98813,33.4,76.65,essence
vehicle_1,2025-07-20T04:03:41.685796,98.85,1.83,8.53,98818,33.6,76.6,essence
vehicle_1,2025-07-20T01:39:41.685796,99.19,1.76,7.92,98823,33.8,76.55,essence
vehicle_1,2025-07-21T23:15:41.685796,103.89,1.77,8.44,98828,34.0,76.5,essence
vehicle_1,2025-07-21T20:51:41.685796,103.25,1.92,8.35,98833,34.2,76.45,essence
vehicle_1,2025-07-21T18:27:41.685796,98.34,1.74,7.89,98838,34.4,76.4,essence
vehicle_1,2025-07-21T16:03:41.685796,102.58,1.6,7.74,98843,34.6,76.35,essence
vehicle_1,2025-07-21T13:39:41.685796,95.6,1.92,8.13,98848,34.8,76.3,essence
vehicle_1,2025-07-21T11:15:41.685796,102.4,1.85,8.11,98853,35.0,76.25,essence
vehicle_1,2025-07-21T08:51:41.685796,102.81,1.78,8.66,98858,35.2,76.2,essence
vehicle_1,2025-07-21T06:27:41.685796,98.36,1.84,8.37,98863,35.4,76.15,essence
vehicle_1,2025-07-21T04:03:41.685796,101.9,1.64,8.64,98868,35.6,76.1,essence
vehicle_1,2025-07-21T01:39:41.685796,102.0,1.93,7.86,98873,35.8,76.05,essence
vehicle_1,2025-07-22T23:15:41.685796,103.9,1.6,8.72,98878,36.0,76.0,essence
vehicle_1,2025-07-22T20:51:41.685796,103.98,1.66,7.91,98883,36.2,75.95,essence
vehicle_1,2025-07-22T18:27:41.685796,97.22,1.57,7.92,98888,36.4,75.9,essence
vehicle_1,2025-07-22T16:03:41.685796,105.21,1.96,7.92,98893,36.6,75.85,essence
vehicle_1,2025-07-22T13:39:41.685796,102.83,1.67,8.66,98898,36.8,75.8,essence
vehicle_1,2025-07-22T11:15:41.685796,101.31,1.75,7.79,98903,37.0,75.75,essence
vehicle_1,2025-07-22T08:51:41.685796,95.86,1.68,7.88,98908,37.2,75.7,essence
vehicle_1,2025-07-22T06:27:41.685796,101.08,1.94,8.63,98913,37.4,75.65,essence
vehicle_1,2025-07-22T04:03:41.685796,96.79,1.66,8.2,98918,37.6,75.6,essence
vehicle_1,2025-07-22T01:39:41.685796,99.52,1.82,8.41,98923,37.8,75.55,essence
vehicle_1,2025-07-23T23:15:41.685796,102.12,1.86,7.92,98928,38.0,75.5,essence
vehicle_1,2025-07-23T20:51:41.685796,103.4,1.96,7.91,98933,38.2,75.45,essence
vehicle_1,2025-07-23T18:27:41.685796,99.49,1.69,8.19,98938,38.4,75.4,essence
vehicle_1,2025-07-23T16:03:41.685796,102.52,1.8,8.23,98943,38.6,75.35,essence
vehicle_1,2025-07-23T13:39:41.685796,103.22,1.76,8.56,98948,38.8,75.3,essence
vehicle_1,2025-07-23T11:15:41.685796,103.14,1.68,8.46,98953,39.0,75.25,essence
vehicle_1,2025-07-23T08:51:41.685796,101.0,1.67,8.75,98958,39.2,75.2,essence
vehicle_1,2025-07-23T06:27:41.685796,104.26,1.93,8.64,98963,39.4,75.15,essence
vehicle_1,2025-07-23T04:03:41.685796,104.91,1.7,7.85,98968,39.6,75.1,essence
vehicle_1,2025-07-23T01:39:41.685796,100.7,1.89,8.15,98973,39.8,75.05,essence
vehicle_1,2025-07-24T23:15:41.685796,102.59,1.76,8.1,98978,40.0,75.0,essence
vehicle_1,2025-07-24T20:51:41.685796,101.28,1.71,7.93,98983,40.2,74.95,essence
vehicle_1,2025-07-24T18:27:41.685796,97.32,1.76,8.41,98988,40.4,74.9,essence
vehicle_1,2025-07-24T16:03:41.685796,100.42,1.97,8.89,98993,40.6,74.85,essence
vehicle_1,2025-07-24T13:39:41.685796,98.56,1.74,8.61,98998,40.8,74.8,essence
vehicle_1,2025-07-24T11:15:41.685796,104.75,1.61,8.48,99003,41.0,74.75,essence
vehicle_1,2025-07-24T08:51:41.685796,103.54,1.97,8.3,99008,41.2,74.7,essence
vehicle_1,2025-07-24T06:27:41.685796,106.94,1.82,8.79,99013,41.4,74.65,essence
vehicle_1,2025-07-24T04:03:41.685796,97.7,1.85,8.62,99018,41.6,74.6,essence
vehicle_1,2025-07-24T01:39:41.685796,98.93,1.61,8.56,99023,41.8,74.55,essence
vehicle_1,2025-07-25T23:15:41.685796,100.68,1.7,8.8,99028,42.0,74.5,essence
vehicle_1,2025-07-25T20:51:41.685796,106.74,1.71,8.3,99033,42.2,74.45,essence
vehicle_1,2025-07-25T18:27:41.685796,105.75,1.96,8.17,99038,42.4,74.4,essence
vehicle_1,2025-07-25T16:03:41.685796,98.77,2.0,8.18,99043,42.6,74.35,essence
vehicle_1,2025-07-25T13:39:41.685796,104.2,1.98,8.22,99048,42.8,74.3,essence
vehicle_1,2025-07-25T11:15:41.685796,102.27,1.94,8.35,99053,43.0,74.25,essence
vehicle_1,2025-07-25T08:51:41.685796,99.3,1.63,8.67,99058,43.2,74.2,essence
vehicle_1,2025-07-25T06:27:41.685796,104.39,1.72,8.06,99063,43.4,74.15,essence
vehicle_1,2025-07-25T04:03:41.685796,102.98,1.83,8.75,99068,43.6,74.1,essence
vehicle_1,2025-07-25T01:39:41.685796,98.94,1.7,8.57,99073,43.8,74.05,essence
vehicle_1,2025-07-26T23:15:41.685796,102.96,1.84,8.92,99078,44.0,74.0,essence
vehicle_1,2025-07-26T20:51:41.685796,104.82,1.87,8.09,99083,44.2,73.95,essence
vehicle_1,2025-07-26T18:27:41.685796,101.26,1.64,8.51,99088,44.4,73.9,essence
vehicle_1,2025-07-26T16:03:41.685796,107.23,1.65,8.4,99093,44.6,73.85,essence
vehicle_1,2025-07-26T13:39:41.685796,106.1,1.94,8.77,99098,44.8,73.8,essence
vehicle_1,2025-07-26T11:15:41.685796,105.58,1.82,8.63,99103,45.0,73.75,essence
vehicle_1,2025-07-26T08:51:41.685796,108.4,1.95,8.39,99108,45.2,73.7,essence
vehicle_1,2025-07-26T06:27:41.685796,103.03,2.0,8.69,99113,45.4,73.65,essence
vehicle_1,2025-07-26T04:03:41.685796,105.42,1.85,8.61,99118,45.6,73.6,essence
vehicle_1,2025-07-26T01:39:41.686795,101.99,1.79,8.37,99123,45.8,73.55,essence
vehicle_1,2025-07-27T23:15:41.686795,103.93,1.74,8.47,99128,46.0,73.5,essence
vehicle_1,2025-07-27T20:51:41.686795,102.42,1.86,8.34,99133,46.2,73.45,essence
vehicle_1,2025-07-27T18:27:41.686795,100.86,1.71,8.22,99138,46.4,73.4,essence
vehicle_1,2025-07-27T16:03:41.686795,104.39,1.78,8.18,99143,46.6,73.35,essence
vehicle_1,2025-07-27T13:39:41.686795,101.55,1.79,8.45,99148,46.8,73.3,essence
vehicle_1,2025-07-27T11:15:41.686795,103.82,1.94,8.33,99153,47.0,73.25,essence
vehicle_1,2025-07-27T08:51:41.686795,103.37,1.9,8.66,99158,47.2,73.2,essence
vehicle_1,2025-07-27T06:27:41.686795,106.78,1.96,8.65,99163,47.4,73.15,essence
vehicle_1,2025-07-27T04:03:41.686795,104.38,1.76,8.88,99168,47.6,73.1,essence
vehicle_1,2025-07-27T01:39:41.686795,100.58,1.8,8.94,99173,47.8,73.05,essence
vehicle_1,2025-07-28T23:15:41.686795,106.5,1.73,8.71,99178,48.0,73.0,essence
vehicle_1,2025-07-28T20:51:41.686795,108.44,1.95,8.93,99183,48.2,72.95,essence
vehicle_1,2025-07-28T18:27:41.686795,100.89,1.87,8.41,99188,48.4,72.9,essence
vehicle_1,2025-07-28T16:03:41.686795,109.31,2.05,8.58,99193,48.6,72.85,essence
vehicle_1,2025-07-28T13:39:41.686795,108.56,1.78,8.23,99198,48.8,72.8,essence
vehicle_1,2025-07-28T11:15:41.686795,101.69,1.9,8.25,99203,49.0,72.75,essence
vehicle_1,2025-07-28T08:51:41.686795,100.94,1.71,8.41,99208,49.2,72.7,essence
vehicle_1,2025-07-28T06:27:41.686795,107.93,1.86,8.29,99213,49.4,72.65,essence
vehicle_1,2025-07-28T04:03:41.686795,109.43,1.89,8.63,99218,49.6,72.6,essence
vehicle_1,2025-07-28T01:39:41.686795,109.35,1.89,8.59,99223,49.8,72.55,essence
vehicle_1,2025-07-29T23:15:41.686795,109.45,1.79,8.87,99228,50.0,72.5,essence
vehicle_1,2025-07-29T20:51:41.686795,109.2,1.95,9.13,99233,50.2,72.45,essence
vehicle_1,2025-07-29T18:27:41.686795,109.61,1.83,8.66,99238,50.4,72.4,essence
vehicle_1,2025-07-29T16:03:41.686795,102.05,1.87,8.93,99243,50.6,72.35,essence
vehicle_1,2025-07-29T13:39:41.686795,110.29,1.81,8.62,99248,50.8,72.3,essence
vehicle_1,2025-07-29T11:15:41.686795,110.13,2.01,8.63,99253,51.0,72.25,essence
vehicle_1,2025-07-29T08:51:41.686795,108.65,1.78,8.32,99258,51.2,72.2,essence
vehicle_1,2025-07-29T06:27:41.686795,102.54,2.02,9.07,99263,51.4,72.15,essence
vehicle_1,2025-07-29T04:03:41.686795,110.67,1.78,9.13,99268,51.6,72.1,essence
vehicle_1,2025-07-29T01:39:41.686795,105.91,1.69,9.09,99273,51.8,72.05,essence
vehicle_1,2025-07-30T23:15:41.686795,108.33,1.87,8.71,99278,52.0,72.0,essence
vehicle_1,2025-07-30T20:51:41.686795,105.09,1.94,9.27,99283,52.2,71.95,essence
vehicle_1,2025-07-30T18:27:41.686795,104.12,1.84,9.27,99288,52.4,71.9,essence
vehicle_1,2025-07-30T16:03:41.686795,106.39,1.89,8.91,99293,52.6,71.85,essence
vehicle_1,2025-07-30T13:39:41.686795,103.21,1.89,9.12,99298,52.8,71.8,essence
vehicle_1,2025-07-30T11:15:41.686795,108.79,2.02,9.13,99303,53.0,71.75,essence
vehicle_1,2025-07-30T08:51:41.686795,108.3,1.71,8.55,99308,53.2,71.7,essence
vehicle_1,2025-07-30T06:27:41.686795,103.53,1.79,8.89,99313,53.4,71.65,essence
vehicle_1,2025-07-30T04:03:41.686795,109.29,1.93,8.47,99318,53.6,71.6,essence
vehicle_1,2025-07-30T01:39:41.686795,106.26,1.94,8.71,99323,53.8,71.55,essence
vehicle_1,2025-07-31T23:15:41.686795,103.25,1.72,9.22,99328,54.0,71.5,essence
vehicle_1,2025-07-31T20:51:41.686795,112.44,1.78,8.76,99333,54.2,71.45,essence
vehicle_1,2025-07-31T18:27:41.686795,107.81,1.81,8.86,99338,54.4,71.4,essence
vehicle_1,2025-07-31T16:03:41.686795,106.98,1.91,9.05,99343,54.6,71.35,essence
vehicle_1,2025-07-31T13:39:41.686795,103.04,1.95,9.1,99348,54.8,71.3,essence
vehicle_1,2025-07-31T11:15:41.686795,103.46,2.03,8.87,99353,55.0,71.25,essence
vehicle_1,2025-07-31T08:51:41.686795,109.98,1.79,8.9,99358,55.2,71.2,essence
vehicle_1,2025-07-31T06:27:41.686795,112.77,2.02,8.99,99363,55.4,71.15,essence
vehicle_1,2025-07-31T04:03:41.686795,106.03,1.96,9.24,99368,55.6,71.1,essence
vehicle_1,2025-07-31T01:39:41.686795,105.22,2.01,8.74,99373,55.8,71.05,essence
vehicle_1,2025-08-01T23:15:41.686795,106.26,1.72,8.74,99378,56.0,71.0,essence
vehicle_1,2025-08-01T20:51:41.686795,110.24,1.74,8.68,99383,56.2,70.95,essence
vehicle_1,2025-08-01T18:27:41.686795,108.74,2.04,8.72,99388,56.4,70.9,essence
