date,localisation,carburant_vehicule,nombre_réservations,taux_occupation,is_holiday,is_rainy,météo_temp,météo_précipitations,is_family_event
2024-08-03,Djerba,essence,16,0.83,0,0,27.1,0.0,0
2024-08-03,Djerba,diesel,12,0.73,0,0,30.4,0.0,0
2024-08-04,Tunis,électrique,40,0.47,0,1,23.5,1.7,1
2024-08-04,Tunis,hybride,27,0.8,0,0,25.4,0.0,1
2024-08-04,Tunis,essence,49,0.86,0,0,25.6,0.0,1
2024-08-04,Tunis,diesel,30,0.59,0,0,27.4,0.0,1
2024-08-04,Sfax,électrique,41,0.6,0,0,27.1,0.0,1
2024-08-04,Sfax,hybride,25,0.4,0,0,29.5,0.0,1
2024-08-04,Sfax,essence,23,0.83,0,0,25.0,0.0,1
2024-08-04,Sfax,diesel,19,0.63,0,0,32.0,0.0,1
2024-08-04,Sousse,électrique,23,0.76,0,0,32.3,0.0,0
2024-08-04,Sousse,hybride,14,0.47,0,0,32.0,0.0,0
2024-08-04,Sousse,essence,16,0.59,0,1,30.8,0.2,0
2024-08-04,Sousse,diesel,11,0.7,0,0,29.3,0.0,0
2024-08-04,Bizerte,électrique,18,0.68,0,0,23.1,0.0,0
2024-08-04,Bizerte,hybride,10,0.68,0,0,22.7,0.0,0
2024-08-04,Bizerte,essence,10,1.0,0,0,27.2,0.0,0
2024-08-04,Bizerte,diesel,9,0.71,0,1,28.4,2.1,0
2024-08-04,Djerba,électrique,16,0.8,0,0,27.3,0.0,0
2024-08-04,Djerba,hybride,16,0.68,0,0,33.3,0.0,0
2024-08-04,Djerba,essence,11,0.61,0,1,27.8,0.8,0
2024-08-04,Djerba,diesel,16,0.84,0,0,29.5,0.0,0
2024-08-05,Tunis,électrique,31,0.79,0,0,28.1,0.0,1
2024-08-05,Tunis,hybride,19,0.43,0,0,25.3,0.0,1
2024-08-05,Tunis,essence,27,0.87,0,0,25.0,0.0,1
2024-08-05,Tunis,diesel,24,0.64,0,0,30.3,0.0,1
2024-08-05,Sfax,électrique,32,0.84,0,0,27.0,0.0,1
2024-08-05,Sfax,hybride,19,0.66,0,0,26.1,0.0,1
2024-08-05,Sfax,essence,17,0.86,0,0,32.7,0.0,1
2024-08-05,Sfax,diesel,21,0.82,0,0,23.4,0.0,1
2024-08-05,Sousse,électrique,19,0.7,0,0,24.9,0.0,0
2024-08-05,Sousse,hybride,18,0.79,0,0,26.6,0.0,0
2024-08-05,Sousse,essence,11,0.73,0,0,25.7,0.0,0
2024-08-05,Sousse,diesel,7,0.48,0,1,27.7,8.6,0
2024-08-05,Bizerte,électrique,6,0.67,0,0,24.8,0.0,0
2024-08-05,Bizerte,hybride,7,0.7,0,0,31.7,0.0,0
2024-08-05,Bizerte,essence,8,0.66,0,1,26.9,0.3,0
2024-08-05,Bizerte,diesel,8,0.77,0,0,24.5,0.0,0
2024-08-05,Djerba,électrique,13,0.57,0,0,22.7,0.0,0
2024-08-05,Djerba,hybride,12,0.7,0,1,27.0,1.6,0
2024-08-05,Djerba,essence,13,0.84,0,0,31.4,0.0,0
2024-08-05,Djerba,diesel,9,1.0,0,0,32.4,0.0,0
2024-08-06,Tunis,électrique,40,0.61,0,0,24.5,0.0,1
2024-08-06,Tunis,hybride,26,0.41,0,1,21.6,7.3,1
2024-08-06,Tunis,essence,21,0.85,0,0,28.7,0.0,1
2024-08-06,Tunis,diesel,22,0.69,0,0,32.5,0.0,1
2024-08-06,Sfax,électrique,23,0.54,0,0,27.9,0.0,1
2024-08-06,Sfax,hybride,21,0.68,0,0,30.7,0.0,1
2024-08-06,Sfax,essence,20,0.75,0,0,27.8,0.0,1
2024-08-06,Sfax,diesel,12,0.65,0,0,27.1,0.0,1
2024-08-06,Sousse,électrique,12,0.78,0,0,22.9,0.0,0
2024-08-06,Sousse,hybride,19,0.74,0,0,30.8,0.0,0
2024-08-06,Sousse,essence,19,0.93,0,0,27.3,0.0,0
2024-08-06,Sousse,diesel,9,0.55,0,0,32.3,0.0,0
2024-08-06,Bizerte,électrique,14,0.83,0,0,31.5,0.0,0
2024-08-06,Bizerte,hybride,9,0.83,0,0,21.7,0.0,0
2024-08-06,Bizerte,essence,9,0.37,0,0,27.6,0.0,0
2024-08-06,Bizerte,diesel,8,0.7,0,0,22.9,0.0,0
2024-08-06,Djerba,électrique,7,0.45,0,0,26.2,0.0,0
2024-08-06,Djerba,hybride,11,0.68,0,0,26.7,0.0,0
2024-08-06,Djerba,essence,10,0.77,0,0,23.7,0.0,0
2024-08-06,Djerba,diesel,8,0.63,0,0,29.9,0.0,0
2024-08-07,Tunis,électrique,24,0.62,0,1,24.6,0.3,1
2024-08-07,Tunis,hybride,34,0.99,0,0,26.4,0.0,1
2024-08-07,Tunis,essence,31,0.73,0,0,24.9,0.0,1
2024-08-07,Tunis,diesel,20,0.62,0,0,25.1,0.0,1
2024-08-07,Sfax,électrique,19,0.35,0,0,26.2,0.0,1
2024-08-07,Sfax,hybride,24,0.79,0,0,20.4,0.0,1
2024-08-07,Sfax,essence,28,0.87,0,0,35.0,0.0,1
2024-08-07,Sfax,diesel,12,0.59,0,0,19.6,0.0,1
2024-08-07,Sousse,électrique,15,0.54,0,0,25.1,0.0,0
2024-08-07,Sousse,hybride,17,0.7,0,0,29.7,0.0,0
2024-08-07,Sousse,essence,10,0.57,0,0,27.2,0.0,0
2024-08-07,Sousse,diesel,7,0.57,0,0,31.7,0.0,0
2024-08-07,Bizerte,électrique,12,0.99,0,0,29.8,0.0,0
2024-08-07,Bizerte,hybride,8,0.6,0,0,27.4,0.0,0
2024-08-07,Bizerte,essence,4,0.57,0,0,25.2,0.0,0
2024-08-07,Bizerte,diesel,6,0.66,0,0,29.1,0.0,0
2024-08-07,Djerba,électrique,16,0.81,0,0,25.3,0.0,0
2024-08-07,Djerba,hybride,11,0.45,0,0,27.6,0.0,0
2024-08-07,Djerba,essence,11,0.79,0,0,25.0,0.0,0
2024-08-07,Djerba,diesel,7,0.74,0,0,18.8,0.0,0
2024-08-08,Tunis,électrique,47,0.45,0,0,28.9,0.0,1
2024-08-08,Tunis,hybride,32,0.61,0,1,22.2,0.8,1
2024-08-08,Tunis,essence,14,0.82,0,0,30.3,0.0,1
2024-08-08,Tunis,diesel,24,0.73,0,0,24.6,0.0,1
2024-08-08,Sfax,électrique,32,0.94,0,0,28.5,0.0,1
2024-08-08,Sfax,hybride,20,0.65,0,0,25.8,0.0,1
2024-08-08,Sfax,essence,25,0.86,0,0,28.6,0.0,1
2024-08-08,Sfax,diesel,22,0.66,0,0,26.0,0.0,1
2024-08-08,Sousse,électrique,13,0.37,0,0,25.0,0.0,0
2024-08-08,Sousse,hybride,15,0.66,0,0,32.0,0.0,0
2024-08-08,Sousse,essence,9,0.71,0,0,29.7,0.0,0
2024-08-08,Sousse,diesel,14,0.78,0,0,30.4,0.0,0
2024-08-08,Bizerte,électrique,10,0.71,0,0,29.9,0.0,0
2024-08-08,Bizerte,hybride,11,0.93,0,0,24.5,0.0,0
2024-08-08,Bizerte,essence,8,0.82,0,0,26.0,0.0,0
2024-08-08,Bizerte,diesel,6,0.64,0,0,24.1,0.0,0
2024-08-08,Djerba,électrique,16,0.85,0,0,29.9,0.0,0
2024-08-08,Djerba,hybride,9,0.54,0,0,32.6,0.0,0
2024-08-08,Djerba,essence,12,0.83,0,0,27.5,0.0,0
2024-08-08,Djerba,diesel,14,0.73,0,0,26.8,0.0,0
2024-08-09,Tunis,électrique,36,0.71,0,0,26.4,0.0,1
2024-08-09,Tunis,hybride,32,0.73,0,0,29.2,0.0,1
2024-08-09,Tunis,essence,31,0.53,0,0,27.8,0.0,1
2024-08-09,Tunis,diesel,27,0.69,0,0,25.5,0.0,1
2024-08-09,Sfax,électrique,26,0.78,0,0,34.6,0.0,1
2024-08-09,Sfax,hybride,13,0.83,0,0,25.7,0.0,1
2024-08-09,Sfax,essence,19,0.79,0,0,26.3,0.0,1
2024-08-09,Sfax,diesel,15,0.53,0,0,32.0,0.0,1
2024-08-09,Sousse,électrique,14,0.5,0,0,27.0,0.0,0
2024-08-09,Sousse,hybride,14,0.55,0,0,29.1,0.0,0
2024-08-09,Sousse,essence,18,0.68,0,0,24.6,0.0,0
2024-08-09,Sousse,diesel,11,0.73,0,1,27.2,2.8,0
2024-08-09,Bizerte,électrique,9,0.62,0,1,25.3,1.3,0
2024-08-09,Bizerte,hybride,5,0.91,0,0,27.3,0.0,0
2024-08-09,Bizerte,essence,7,0.51,0,0,20.8,0.0,0
2024-08-09,Bizerte,diesel,8,0.68,0,0,25.9,0.0,0
2024-08-09,Djerba,électrique,14,0.5,0,0,29.5,0.0,0
2024-08-09,Djerba,hybride,9,0.81,0,1,30.8,0.5,0
2024-08-09,Djerba,essence,10,0.77,0,0,25.4,0.0,0
2024-08-09,Djerba,diesel,10,0.81,0,0,26.3,0.0,0
2024-08-10,Tunis,électrique,43,0.87,0,0,25.9,0.0,1
2024-08-10,Tunis,hybride,29,0.75,0,0,24.2,0.0,1
2024-08-10,Tunis,essence,25,0.67,0,0,29.8,0.0,1
2024-08-10,Tunis,diesel,30,0.47,0,0,24.6,0.0,1
2024-08-10,Sfax,électrique,25,0.96,0,0,23.2,0.0,1
2024-08-10,Sfax,hybride,29,0.62,0,0,25.4,0.0,1
2024-08-10,Sfax,essence,26,0.87,0,0,26.9,0.0,1
2024-08-10,Sfax,diesel,30,1.0,0,1,31.0,0.6,1
2024-08-10,Sousse,électrique,20,0.64,0,0,25.1,0.0,0
2024-08-10,Sousse,hybride,17,0.46,0,0,28.0,0.0,0
2024-08-10,Sousse,essence,17,0.81,0,0,33.0,0.0,0
2024-08-10,Sousse,diesel,14,0.55,0,0,29.9,0.0,0
2024-08-10,Bizerte,électrique,13,0.82,0,0,26.5,0.0,0
2024-08-10,Bizerte,hybride,12,0.65,0,0,27.1,0.0,0
2024-08-10,Bizerte,essence,9,0.79,0,0,22.7,0.0,0
2024-08-10,Bizerte,diesel,6,0.79,0,0,22.9,0.0,0
2024-08-10,Djerba,électrique,14,0.65,0,0,33.2,0.0,0
2024-08-10,Djerba,hybride,14,0.61,0,1,29.1,0.6,0
2024-08-10,Djerba,essence,12,0.69,0,0,34.7,0.0,0
2024-08-10,Djerba,diesel,13,1.0,0,1,27.7,2.6,0
2024-08-11,Tunis,électrique,50,0.64,0,0,22.3,0.0,1
2024-08-11,Tunis,hybride,40,0.44,0,0,29.9,0.0,1
2024-08-11,Tunis,essence,36,0.67,0,0,23.0,0.0,1
2024-08-11,Tunis,diesel,41,0.89,0,0,28.8,0.0,1
2024-08-11,Sfax,électrique,39,0.79,0,0,25.6,0.0,1
2024-08-11,Sfax,hybride,31,0.82,0,0,27.6,0.0,1
2024-08-11,Sfax,essence,25,0.67,0,0,28.3,0.0,1
2024-08-11,Sfax,diesel,26,0.63,0,0,29.0,0.0,1
2024-08-11,Sousse,électrique,23,0.78,0,0,22.8,0.0,0
2024-08-11,Sousse,hybride,18,0.66,0,0,25.6,0.0,0
2024-08-11,Sousse,essence,16,0.41,0,0,28.2,0.0,0
2024-08-11,Sousse,diesel,14,0.5,0,0,22.5,0.0,0
2024-08-11,Bizerte,électrique,13,0.71,0,0,29.1,0.0,0
2024-08-11,Bizerte,hybride,13,0.84,0,0,31.2,0.0,0
2024-08-11,Bizerte,essence,8,0.44,0,0,22.0,0.0,0
2024-08-11,Bizerte,diesel,7,0.55,0,0,26.2,0.0,0
2024-08-11,Djerba,électrique,19,0.52,0,0,21.2,0.0,0
2024-08-11,Djerba,hybride,15,1.0,0,0,26.4,0.0,0
2024-08-11,Djerba,essence,13,0.94,0,0,30.5,0.0,0
2024-08-11,Djerba,diesel,11,0.78,0,0,25.4,0.0,0
2024-08-12,Tunis,électrique,44,0.67,0,0,25.5,0.0,1
2024-08-12,Tunis,hybride,28,0.75,0,0,25.3,0.0,1
2024-08-12,Tunis,essence,32,0.59,0,0,24.9,0.0,1
2024-08-12,Tunis,diesel,20,0.61,0,1,32.4,4.2,1
2024-08-12,Sfax,électrique,22,0.75,0,0,27.9,0.0,1
2024-08-12,Sfax,hybride,17,0.49,0,0,27.3,0.0,1
2024-08-12,Sfax,essence,20,0.97,0,1,26.9,0.5,1
2024-08-12,Sfax,diesel,10,0.18,0,0,27.7,0.0,1
2024-08-12,Sousse,électrique,19,0.75,0,0,30.6,0.0,0
2024-08-12,Sousse,hybride,15,0.74,0,0,32.5,0.0,0
2024-08-12,Sousse,essence,15,0.76,0,0,29.8,0.0,0
2024-08-12,Sousse,diesel,15,0.85,0,0,28.5,0.0,0
2024-08-12,Bizerte,électrique,11,0.77,0,0,25.1,0.0,0
2024-08-12,Bizerte,hybride,9,0.6,0,0,27.4,0.0,0
2024-08-12,Bizerte,essence,9,0.76,0,0,28.3,0.0,0
2024-08-12,Bizerte,diesel,6,0.81,0,0,27.1,0.0,0
2024-08-12,Djerba,électrique,14,0.73,0,0,31.5,0.0,0
2024-08-12,Djerba,hybride,9,0.88,0,0,31.7,0.0,0
2024-08-12,Djerba,essence,10,0.76,0,1,27.5,0.7,0
2024-08-12,Djerba,diesel,7,0.88,0,0,27.5,0.0,0
2024-08-13,Tunis,électrique,35,0.76,0,0,25.3,0.0,1
2024-08-13,Tunis,hybride,38,0.62,0,0,20.9,0.0,1
2024-08-13,Tunis,essence,24,0.37,0,0,22.7,0.0,1
2024-08-13,Tunis,diesel,21,0.74,0,0,30.0,0.0,1
2024-08-13,Sfax,électrique,27,0.83,0,0,23.2,0.0,1
2024-08-13,Sfax,hybride,20,0.98,0,0,23.6,0.0,1
2024-08-13,Sfax,essence,22,0.6,0,0,22.4,0.0,1
2024-08-13,Sfax,diesel,20,0.51,0,0,26.4,0.0,1
2024-08-13,Sousse,électrique,19,0.87,0,0,26.8,0.0,0
2024-08-13,Sousse,hybride,15,0.79,0,0,26.3,0.0,0
2024-08-13,Sousse,essence,17,0.9,0,0,28.9,0.0,0
2024-08-13,Sousse,diesel,14,0.6,0,0,28.5,0.0,0
2024-08-13,Bizerte,électrique,11,0.49,0,1,26.9,1.7,0
2024-08-13,Bizerte,hybride,9,0.66,0,0,25.0,0.0,0
2024-08-13,Bizerte,essence,5,0.6,0,0,26.5,0.0,0
2024-08-13,Bizerte,diesel,8,0.76,0,0,29.3,0.0,0
2024-08-13,Djerba,électrique,13,0.61,0,0,26.9,0.0,0
2024-08-13,Djerba,hybride,16,0.78,0,0,23.5,0.0,0
2024-08-13,Djerba,essence,8,0.71,0,0,24.4,0.0,0
2024-08-13,Djerba,diesel,11,0.85,0,0,26.2,0.0,0
2024-08-14,Tunis,électrique,43,0.63,0,0,25.5,0.0,1
2024-08-14,Tunis,hybride,25,0.71,0,1,29.8,5.5,1
2024-08-14,Tunis,essence,24,0.76,0,0,29.1,0.0,1
2024-08-14,Tunis,diesel,27,0.9,0,0,30.3,0.0,1
2024-08-14,Sfax,électrique,23,0.6,0,0,33.2,0.0,1
2024-08-14,Sfax,hybride,18,0.55,0,1,27.6,0.6,1
2024-08-14,Sfax,essence,29,0.87,0,0,28.9,0.0,1
2024-08-14,Sfax,diesel,18,0.53,0,0,28.3,0.0,1
2024-08-14,Sousse,électrique,20,0.73,0,1,25.5,0.6,0
2024-08-14,Sousse,hybride,17,0.63,0,0,26.7,0.0,0
2024-08-14,Sousse,essence,7,0.48,0,0,23.3,0.0,0
2024-08-14,Sousse,diesel,12,0.86,0,0,33.0,0.0,0
2024-08-14,Bizerte,électrique,13,0.83,0,0,26.5,0.0,0
2024-08-14,Bizerte,hybride,13,0.92,0,0,27.5,0.0,0
2024-08-14,Bizerte,essence,9,0.76,0,0,25.1,0.0,0
2024-08-14,Bizerte,diesel,7,0.78,0,0,26.1,0.0,0
2024-08-14,Djerba,électrique,8,0.27,0,0,29.3,0.0,0
2024-08-14,Djerba,hybride,12,0.51,0,0,28.0,0.0,0
2024-08-14,Djerba,essence,7,0.75,0,0,25.6,0.0,0
2024-08-14,Djerba,diesel,8,0.39,0,1,26.2,0.4,0
2024-08-15,Tunis,électrique,50,0.89,0,0,26.2,0.0,1
2024-08-15,Tunis,hybride,39,0.83,0,0,29.6,0.0,1
2024-08-15,Tunis,essence,31,0.69,0,0,30.6,0.0,1
2024-08-15,Tunis,diesel,20,0.65,0,0,27.7,0.0,1
2024-08-15,Sfax,électrique,28,0.6,0,0,27.1,0.0,1
2024-08-15,Sfax,hybride,21,0.61,0,0,26.8,0.0,1
2024-08-15,Sfax,essence,24,0.77,0,0,27.4,0.0,1
2024-08-15,Sfax,diesel,18,0.57,0,0,18.3,0.0,1
2024-08-15,Sousse,électrique,15,0.8,0,0,24.2,0.0,0
2024-08-15,Sousse,hybride,11,0.78,0,0,32.7,0.0,0
2024-08-15,Sousse,essence,15,1.0,0,0,26.9,0.0,0
2024-08-15,Sousse,diesel,14,0.87,0,1,30.2,5.3,0
2024-08-15,Bizerte,électrique,8,0.53,0,0,28.9,0.0,0
2024-08-15,Bizerte,hybride,9,0.69,0,0,27.9,0.0,0
2024-08-15,Bizerte,essence,9,0.76,0,0,28.0,0.0,0
2024-08-15,Bizerte,diesel,6,0.88,0,0,28.1,0.0,0
2024-08-15,Djerba,électrique,18,0.81,0,0,28.8,0.0,0
2024-08-15,Djerba,hybride,11,0.67,0,0,26.2,0.0,0
2024-08-15,Djerba,essence,7,0.48,0,0,23.7,0.0,0
2024-08-15,Djerba,diesel,6,0.6,0,0,31.7,0.0,0
2024-08-16,Tunis,électrique,21,0.85,0,0,31.9,0.0,1
2024-08-16,Tunis,hybride,34,0.33,0,0,25.0,0.0,1
2024-08-16,Tunis,essence,33,0.45,0,0,22.8,0.0,1
2024-08-16,Tunis,diesel,29,0.79,0,0,29.2,0.0,1
2024-08-16,Sfax,électrique,26,0.74,0,0,29.3,0.0,1
2024-08-16,Sfax,hybride,18,0.45,0,0,28.7,0.0,1
2024-08-16,Sfax,essence,11,0.53,0,0,24.0,0.0,1
2024-08-16,Sfax,diesel,19,0.55,0,0,28.2,0.0,1
2024-08-16,Sousse,électrique,13,0.67,0,0,24.1,0.0,0
2024-08-16,Sousse,hybride,14,0.61,0,0,28.7,0.0,0
2024-08-16,Sousse,essence,16,0.77,0,0,22.2,0.0,0
2024-08-16,Sousse,diesel,10,0.72,0,0,26.8,0.0,0
2024-08-16,Bizerte,électrique,11,0.78,0,0,27.4,0.0,0
2024-08-16,Bizerte,hybride,11,0.49,0,0,28.2,0.0,0
2024-08-16,Bizerte,essence,9,0.6,0,0,23.3,0.0,0
2024-08-16,Bizerte,diesel,7,0.6,0,0,25.3,0.0,0
2024-08-16,Djerba,électrique,17,1.0,0,0,24.5,0.0,0
2024-08-16,Djerba,hybride,11,0.67,0,0,24.8,0.0,0
2024-08-16,Djerba,essence,7,0.68,0,0,27.1,0.0,0
2024-08-16,Djerba,diesel,13,0.69,0,0,27.8,0.0,0
2024-08-17,Tunis,électrique,61,0.95,0,0,24.6,0.0,1
2024-08-17,Tunis,hybride,52,0.79,0,0,30.3,0.0,1
2024-08-17,Tunis,essence,30,0.67,0,1,25.9,4.5,1
2024-08-17,Tunis,diesel,28,0.61,0,0,24.0,0.0,1
2024-08-17,Sfax,électrique,36,0.71,0,0,24.7,0.0,1
2024-08-17,Sfax,hybride,42,0.77,0,0,22.3,0.0,1
2024-08-17,Sfax,essence,31,0.51,0,0,23.5,0.0,1
2024-08-17,Sfax,diesel,20,0.71,0,0,28.3,0.0,1
2024-08-17,Sousse,électrique,22,0.79,0,0,24.0,0.0,0
2024-08-17,Sousse,hybride,15,0.9,0,0,24.3,0.0,0
2024-08-17,Sousse,essence,17,0.49,0,0,25.4,0.0,0
2024-08-17,Sousse,diesel,14,0.59,0,0,27.4,0.0,0
2024-08-17,Bizerte,électrique,16,0.75,0,0,25.4,0.0,0
2024-08-17,Bizerte,hybride,8,0.58,0,1,29.9,0.7,0
2024-08-17,Bizerte,essence,16,0.78,0,0,21.5,0.0,0
2024-08-17,Bizerte,diesel,11,0.7,0,0,23.6,0.0,0
2024-08-17,Djerba,électrique,19,0.69,0,0,27.2,0.0,0
2024-08-17,Djerba,hybride,12,0.67,0,0,28.8,0.0,0
2024-08-17,Djerba,essence,12,0.57,0,0,28.6,0.0,0
2024-08-17,Djerba,diesel,14,0.7,0,0,27.5,0.0,0
2024-08-18,Tunis,électrique,23,0.78,0,0,31.2,0.0,1
2024-08-18,Tunis,hybride,35,0.61,0,0,27.2,0.0,1
2024-08-18,Tunis,essence,23,0.78,0,0,27.2,0.0,1
2024-08-18,Tunis,diesel,27,0.56,0,0,25.1,0.0,1
2024-08-18,Sfax,électrique,29,0.79,0,0,23.4,0.0,1
2024-08-18,Sfax,hybride,26,0.6,0,1,28.3,3.0,1
2024-08-18,Sfax,essence,22,0.64,0,0,25.3,0.0,1
2024-08-18,Sfax,diesel,19,0.7,0,0,26.1,0.0,1
2024-08-18,Sousse,électrique,11,0.84,0,0,22.4,0.0,0
2024-08-18,Sousse,hybride,21,0.68,0,0,29.8,0.0,0
2024-08-18,Sousse,essence,16,0.52,0,0,25.5,0.0,0
2024-08-18,Sousse,diesel,13,0.7,0,0,29.3,0.0,0
2024-08-18,Bizerte,électrique,12,0.7,0,0,25.8,0.0,0
2024-08-18,Bizerte,hybride,11,0.55,0,0,28.2,0.0,0
2024-08-18,Bizerte,essence,12,1.0,0,0,21.1,0.0,0
2024-08-18,Bizerte,diesel,8,0.88,0,0,24.2,0.0,0
2024-08-18,Djerba,électrique,22,0.63,0,0,20.1,0.0,0
2024-08-18,Djerba,hybride,12,0.87,0,0,26.4,0.0,0
2024-08-18,Djerba,essence,18,0.64,0,0,22.2,0.0,0
2024-08-18,Djerba,diesel,14,0.74,0,0,25.2,0.0,0
2024-08-19,Tunis,électrique,39,0.73,0,0,25.1,0.0,1
2024-08-19,Tunis,hybride,29,0.67,0,0,25.0,0.0,1
2024-08-19,Tunis,essence,21,0.63,0,1,27.7,0.1,1
2024-08-19,Tunis,diesel,22,0.88,0,0,30.9,0.0,1
2024-08-19,Sfax,électrique,29,0.78,0,0,23.9,0.0,1
2024-08-19,Sfax,hybride,20,0.85,0,0,24.9,0.0,1
2024-08-19,Sfax,essence,23,0.93,0,0,22.7,0.0,1
2024-08-19,Sfax,diesel,26,0.77,0,0,24.2,0.0,1
2024-08-19,Sousse,électrique,22,0.84,0,0,25.1,0.0,0
2024-08-19,Sousse,hybride,17,0.78,0,0,32.4,0.0,0
2024-08-19,Sousse,essence,10,0.57,0,0,25.9,0.0,0
2024-08-19,Sousse,diesel,10,1.0,0,0,23.2,0.0,0
2024-08-19,Bizerte,électrique,8,0.66,0,0,26.3,0.0,0
2024-08-19,Bizerte,hybride,9,0.67,0,0,29.7,0.0,0
2024-08-19,Bizerte,essence,11,0.94,0,0,26.3,0.0,0
2024-08-19,Bizerte,diesel,5,0.73,0,0,29.2,0.0,0
2024-08-19,Djerba,électrique,13,0.6,0,0,28.2,0.0,0
2024-08-19,Djerba,hybride,15,0.75,0,0,22.5,0.0,0
2024-08-19,Djerba,essence,16,1.0,0,0,27.7,0.0,0
2024-08-19,Djerba,diesel,11,0.89,0,0,28.9,0.0,0
2024-08-20,Tunis,électrique,30,0.52,0,1,26.6,0.6,1
2024-08-20,Tunis,hybride,21,0.74,0,0,24.4,0.0,1
2024-08-20,Tunis,essence,36,0.92,0,0,29.2,0.0,1
2024-08-20,Tunis,diesel,16,0.48,0,0,25.2,0.0,1
2024-08-20,Sfax,électrique,33,0.58,0,0,25.6,0.0,1
2024-08-20,Sfax,hybride,24,0.45,0,0,25.8,0.0,1
